timestamp,episode,step,action,action_name,reward,done,score,steps_alive,nearest_food_dx,nearest_food_dy,food_count,has_virus,q_value,td_error
2025-12-07T14:33:28.978064,16,0,2,LEFT,0.6053,0,0,1,0.179,-0.278,20,1,0.0000,3.4816
2025-12-07T14:33:31.125462,16,1,2,LEFT,-50.0000,1,0,2,0.181,-0.279,18,0,0.0000,3.5384
2025-12-07T14:33:41.630497,17,0,3,RIGHT,0.6073,0,0,1,0.146,0.147,23,1,0.0000,3.5320
2025-12-07T14:33:43.611369,17,1,2,LEFT,0.6379,0,0,2,0.068,0.249,19,1,0.0000,3.5487
2025-12-07T14:33:45.681665,17,2,2,LEFT,-50.0000,1,0,3,-0.124,-0.426,14,0,0.0000,3.5560
2025-12-07T14:33:55.146776,18,0,0,UP,-50.0000,1,0,1,0.266,0.010,24,0,0.0000,3.4507
2025-12-07T14:34:04.403156,19,0,3,RIGHT,0.6093,0,0,1,0.351,-0.006,32,0,0.0000,3.6342
2025-12-07T14:34:06.377879,19,1,0,UP,0.6379,0,0,2,-0.019,-0.521,20,0,0.0000,3.5423
2025-12-07T14:34:08.443371,19,2,2,LEFT,-50.0000,1,0,3,-0.019,-0.521,14,0,0.0000,3.6246
2025-12-07T14:34:18.048299,20,0,2,LEFT,0.6473,0,0,1,0.106,0.013,40,1,0.0000,3.6060
2025-12-07T14:34:19.958479,20,1,0,UP,0.6819,0,0,2,0.194,0.015,39,1,0.0000,3.6904
2025-12-07T14:34:21.818235,20,2,3,RIGHT,0.7106,0,0,3,-0.038,0.116,36,1,0.0000,3.6565
2025-12-07T14:34:23.695769,20,3,2,LEFT,0.7349,0,0,4,-0.071,0.116,36,1,0.0000,3.6437
2025-12-07T14:34:25.560154,20,4,1,DOWN,0.7652,0,0,5,-0.074,0.168,37,1,0.0000,3.8078
2025-12-07T14:34:27.468644,20,5,3,RIGHT,0.7946,0,0,6,0.019,0.118,43,1,0.0000,3.5575
2025-12-07T14:34:29.344706,20,6,0,UP,0.8079,0,0,7,0.025,0.134,51,1,0.0000,3.5947
2025-12-07T14:34:31.219910,20,7,2,LEFT,0.7977,0,0,8,-0.065,-0.132,55,1,0.0000,3.4797
2025-12-07T14:34:33.102148,20,8,2,LEFT,0.8043,0,0,9,-0.014,0.133,39,1,0.0000,3.6085
2025-12-07T14:34:35.019994,20,9,0,UP,0.8058,0,0,10,-0.135,0.003,37,1,0.0000,3.5443
2025-12-07T14:34:36.889159,20,10,1,DOWN,0.8145,0,0,11,0.047,0.122,33,1,0.0000,3.7813
2025-12-07T14:34:38.746842,20,11,0,UP,0.8405,0,0,12,0.115,0.065,33,1,0.0000,3.4775
2025-12-07T14:34:41.118733,20,12,3,RIGHT,0.8339,0,0,13,-0.118,-0.141,42,1,0.0000,3.5148
2025-12-07T14:34:43.065767,20,13,0,UP,0.8448,0,0,14,0.150,0.067,35,1,0.0000,3.4583
2025-12-07T14:34:44.932227,20,14,0,UP,0.8533,0,0,15,0.160,0.110,37,1,0.0000,3.4844
2025-12-07T14:34:46.785829,20,15,0,UP,0.8613,0,0,16,-0.044,0.183,38,1,0.0000,3.3780
2025-12-07T14:34:48.624199,20,16,0,UP,0.8710,0,0,17,-0.015,0.183,39,1,0.0000,3.7256
2025-12-07T14:34:50.476093,20,17,0,UP,0.8744,0,0,18,0.016,0.183,41,1,0.0000,3.6829
2025-12-07T14:34:52.342429,20,18,1,DOWN,0.8916,0,0,19,0.046,0.184,40,1,-8.1674,3.6817
2025-12-07T14:34:54.236512,20,19,3,RIGHT,0.9045,0,0,20,0.073,0.126,46,1,0.0000,3.6625
2025-12-07T14:34:56.515966,20,20,2,LEFT,0.9091,0,0,21,0.115,-0.071,54,1,0.0000,3.6812
2025-12-07T14:34:58.388386,20,21,0,UP,0.8975,0,0,22,0.022,-0.215,62,1,0.0000,3.6581
2025-12-07T14:35:00.512091,20,22,2,LEFT,-50.0000,1,0,23,0.003,-0.170,42,0,0.0000,3.7401
2025-12-07T14:35:09.949970,21,0,1,DOWN,0.6553,0,0,1,0.064,0.228,40,0,-7.5917,3.4559
2025-12-07T14:35:11.916693,21,1,2,LEFT,0.6699,0,0,2,0.068,0.256,43,0,0.0000,3.6183
2025-12-07T14:35:13.820152,21,2,3,RIGHT,0.7206,0,0,3,-0.036,-0.205,30,0,0.0000,3.3771
2025-12-07T14:35:15.726995,21,3,1,DOWN,0.7269,0,0,4,-0.204,0.023,41,0,-9.1126,3.4482
2025-12-07T14:35:17.591925,21,4,1,DOWN,0.7672,0,0,5,-0.057,-0.230,33,0,0.0000,3.7554
2025-12-07T14:35:19.469429,21,5,3,RIGHT,0.8454,0,0,6,-0.020,0.244,44,0,0.0000,3.6252
2025-12-07T14:35:21.348218,21,6,3,RIGHT,0.8019,0,0,7,0.078,-0.049,44,1,0.0000,3.4743
2025-12-07T14:35:23.205268,21,7,0,UP,0.8137,0,0,8,-0.025,0.138,47,0,0.0000,3.4826
2025-12-07T14:35:25.101825,21,8,2,LEFT,0.8183,0,0,9,-0.112,-0.133,47,0,0.0000,3.5473
2025-12-07T14:35:26.975460,21,9,0,UP,0.8098,0,0,10,0.079,-0.172,44,0,0.0000,3.4820
2025-12-07T14:35:28.833014,21,10,0,UP,0.8405,0,0,11,-0.189,-0.068,35,0,0.0000,3.5813
2025-12-07T14:35:30.718450,21,11,1,DOWN,0.8385,0,0,12,0.169,-0.045,46,0,0.0000,3.7334
2025-12-07T14:35:32.594370,21,12,0,UP,0.8639,0,0,13,0.068,-0.142,41,1,0.0000,3.6233
2025-12-07T14:35:34.852050,21,13,3,RIGHT,0.9020,0,0,14,0.183,-0.056,50,0,0.0000,3.5061
2025-12-07T14:35:36.982069,21,14,3,RIGHT,-50.0000,1,0,15,-0.100,0.008,45,1,0.0000,3.7200
2025-12-07T14:35:46.198294,22,0,2,LEFT,0.6273,0,0,1,-0.361,-0.073,30,0,0.0000,3.5513
2025-12-07T14:35:48.113204,22,1,3,RIGHT,0.6834,0,0,2,-0.279,0.032,29,0,0.0000,3.7993
2025-12-07T14:35:49.986486,22,2,3,RIGHT,0.6926,0,0,3,-0.101,0.051,33,0,0.0000,3.6496
2025-12-07T14:35:51.861048,22,3,0,UP,0.7089,0,0,4,0.161,-0.317,27,0,0.0000,3.5193
2025-12-07T14:35:54.144894,22,4,0,UP,0.7172,0,0,5,-0.130,0.184,24,0,0.0000,3.8428
2025-12-07T14:35:55.980013,22,5,0,UP,0.7186,0,0,6,0.181,0.066,19,0,0.0000,3.4332
2025-12-07T14:35:58.117913,22,6,3,RIGHT,-50.0000,1,0,7,-0.019,-0.521,12,0,0.0000,3.6259
2025-12-07T14:36:07.181141,23,0,3,RIGHT,0.6113,0,0,1,-0.293,0.010,26,1,0.0000,3.5142
2025-12-07T14:36:09.092815,23,1,0,UP,0.6719,0,0,2,-0.339,0.124,21,1,0.0000,3.5490
2025-12-07T14:36:10.982472,23,2,1,DOWN,0.6986,0,0,3,0.047,-0.341,31,0,0.0000,3.6334
2025-12-07T14:36:12.879092,23,3,1,DOWN,0.7249,0,0,4,0.130,0.134,30,1,0.0000,3.6577
2025-12-07T14:36:14.806518,23,4,3,RIGHT,0.7572,0,0,5,0.270,0.241,32,0,0.0000,3.5346
2025-12-07T14:36:17.256934,23,5,3,RIGHT,0.7766,0,0,6,0.098,-0.117,39,0,0.0000,3.5705
2025-12-07T14:36:19.175759,23,6,0,UP,0.7639,0,0,7,0.273,-0.064,41,1,0.0000,3.8346
2025-12-07T14:36:21.305346,23,7,1,DOWN,-50.0000,1,0,8,-0.155,-0.058,28,0,-15.2786,3.5081
2025-12-07T14:36:30.417393,24,0,2,LEFT,0.6133,0,0,1,-0.106,0.083,21,0,0.0000,3.4909
